date,gold_price
2005-10-10,475.1
2005-10-11,475.3
2005-10-12,470.8
2005-10-13,471.2
2005-10-14,469.2
2005-10-17,473.6
2005-10-18,471.1
2005-10-19,464.0
2005-10-20,460.8
2005-10-21,466.3
2005-10-24,464.5
2005-10-25,472.1
2005-10-26,470.6
2005-10-27,473.1
2005-10-28,472.1
2005-10-31,465.2
2005-11-01,459.0
2005-11-02,462.6
2005-11-03,460.7
2005-11-04,456.3
2005-11-07,458.8
2005-11-08,460.7
2005-11-09,466.1
2005-11-10,465.8
2005-11-11,468.2
2005-11-14,467.2
2005-11-15,468.3
2005-11-16,478.7
2005-11-17,485.1
2005-11-18,484.8
2005-11-21,490.8
2005-11-22,493.2
2005-11-23,491.6
2005-11-28,498.3
2005-11-29,498.5
2005-12-01,503.8
2005-12-02,502.8
2005-12-05,508.5
2005-12-06,510.7
2005-12-07,514.7
2005-12-08,520.2
2005-12-09,525.7
2005-12-12,527.2
2005-12-13,517.1
2005-12-14,505.1
2005-12-15,501.2
2005-12-16,502.7
2005-12-19,503.5
2005-12-20,492.1
2005-12-21,494.3
2005-12-22,504.0
2005-12-23,502.3
2005-12-27,507.1
2005-12-28,516.5
2005-12-29,515.5
2005-12-30,516.5
2006-01-02,516.3
2006-01-03,533.6
2006-01-04,533.6
2006-01-05,524.7
2006-01-06,539.2
2006-01-09,547.7
2006-01-10,542.0
2006-01-11,548.2
2006-01-12,545.0
2006-01-13,556.7
2006-01-17,554.2
2006-01-18,542.5
2006-01-19,557.2
2006-01-20,554.0
2006-01-23,558.6
2006-01-24,558.0
2006-01-25,562.7
2006-01-26,559.7
2006-01-27,559.0
2006-01-30,568.1
2006-01-31,568.7
2006-02-01,569.5
2006-02-02,571.7
2006-02-03,568.2
2006-02-06,568.6
2006-02-07,548.7
2006-02-08,549.6
2006-02-09,564.7
2006-02-10,550.5
2006-02-13,540.0
2006-02-14,547.0
2006-02-15,539.5
2006-02-16,548.7
2006-02-17,551.6
2006-02-21,553.7
2006-02-22,555.5
2006-02-23,549.1
2006-02-24,558.5
2006-02-27,553.1
2006-02-28,562.0
2006-03-01,562.5
2006-03-02,569.2
2006-03-03,564.7
2006-03-06,554.5
2006-03-07,552.1
2006-03-08,542.5
2006-03-09,545.5
2006-03-10,540.5
2006-03-13,545.2
2006-03-14,550.5
2006-03-15,552.6
2006-03-16,554.7
2006-03-17,553.6
2006-03-20,553.5
2006-03-21,551.7
2006-03-22,550.2
2006-03-23,549.6
2006-03-24,559.6
2006-03-27,566.7
2006-03-28,563.6
2006-03-29,572.7
2006-03-30,588.0
2006-03-31,583.5
2006-04-03,587.7
2006-04-04,585.6
2006-04-05,588.5
2006-04-06,595.6
2006-04-07,588.3
2006-04-10,599.7
2006-04-11,593.2
2006-04-12,597.7
2006-04-13,596.0
2006-04-17,613.5
2006-04-18,621.2
2006-04-19,639.0
2006-04-20,613.2
2006-04-21,633.5
2006-04-24,619.6
2006-04-25,630.2
2006-04-26,638.7
2006-04-27,633.2
2006-04-28,653.7
2006-05-01,654.5
2006-05-02,668.7
2006-05-03,664.0
2006-05-04,679.7
2006-05-05,683.2
2006-05-08,678.2
2006-05-09,699.7
2006-05-10,708.7
2006-05-11,713.7
2006-05-12,714.2
2006-05-15,679.5
2006-05-16,687.7
2006-05-17,686.7
2006-05-18,684.7
2006-05-19,657.2
2006-05-22,655.3
2006-05-23,666.1
2006-05-24,642.1
2006-05-25,649.6
2006-05-26,651.2
2006-05-30,652.5
2006-05-31,642.7
2006-06-01,628.5
2006-06-02,637.7
2006-06-05,634.7
2006-06-06,629.6
2006-06-07,626.7
2006-06-08,613.2
2006-06-09,607.1
2006-06-12,604.2
2006-06-13,565.5
2006-06-14,558.2
2006-06-15,576.2
2006-06-16,580.6
2006-06-19,565.5
2006-06-20,575.0
2006-06-21,586.5
2006-06-22,580.6
2006-06-23,583.0
2006-06-26,585.0
2006-06-27,579.2
2006-06-28,579.5
2006-06-29,598.7
2006-06-30,615.2
2006-07-03,623.0
2006-07-04,620.7
2006-07-05,627.1
2006-07-06,633.0
2006-07-07,628.7
2006-07-10,623.2
2006-07-11,640.2
2006-07-12,650.2
2006-07-13,663.8
2006-07-14,663.6
2006-07-17,642.6
2006-07-18,630.5
2006-07-19,642.2
2006-07-20,628.6
2006-07-21,619.2
2006-07-24,615.0
2006-07-25,618.6
2006-07-26,623.0
2006-07-27,634.1
2006-07-28,634.2
2006-07-31,635.7
2006-08-01,647.5
2006-08-02,651.2
2006-08-03,644.7
2006-08-04,646.0
2006-08-07,648.2
2006-08-08,642.0
2006-08-09,650.5
2006-08-10,637.2
2006-08-11,632.0
2006-08-14,626.2
2006-08-15,624.5
2006-08-16,628.5
2006-08-17,613.2
2006-08-18,614.2
2006-08-21,627.5
2006-08-22,623.0
2006-08-23,621.1
2006-08-24,620.7
2006-08-25,622.0
2006-08-28,613.7
2006-08-29,614.0
2006-08-30,618.7
2006-08-31,624.6
2006-09-01,624.7
2006-09-05,638.1
2006-09-06,633.2
2006-09-07,616.7
2006-09-08,610.2
2006-09-11,588.7
2006-09-12,585.7
2006-09-13,589.7
2006-09-14,575.0
2006-09-15,578.7
2006-09-18,586.7
2006-09-19,571.7
2006-09-20,576.2
2006-09-21,583.7
2006-09-22,589.1
2006-09-25,589.1
2006-09-26,591.2
2006-09-28,600.7
2006-09-29,597.7
2006-10-02,594.7
2006-10-03,574.1
2006-10-04,567.2
2006-10-05,572.7
2006-10-06,573.2
2006-10-09,576.2
2006-10-10,572.5
2006-10-11,572.6
2006-10-12,579.0
2006-10-13,589.6
2006-10-16,596.2
2006-10-17,589.5
2006-10-18,589.2
2006-10-19,599.7
2006-10-20,591.1
2006-10-23,580.7
2006-10-24,585.2
2006-10-25,591.2
2006-10-26,596.0
2006-10-27,599.2
2006-10-30,603.6
2006-10-31,606.1
2006-11-01,616.7
2006-11-02,624.2
2006-11-03,626.9
2006-11-06,623.0
2006-11-07,624.0
2006-11-08,615.7
2006-11-09,634.7
2006-11-10,628.2
2006-11-13,624.6
2006-11-14,620.7
2006-11-15,622.2
2006-11-16,618.2
2006-11-17,621.2
2006-11-20,622.2
2006-11-21,627.7
2006-11-22,627.9
2006-11-27,640.5
2006-11-28,639.7
2006-11-29,636.6
2006-11-30,647.2
2006-12-01,645.0
2006-12-04,645.7
2006-12-05,641.2
2006-12-06,630.7
2006-12-07,632.2
2006-12-08,624.6
2006-12-11,629.2
2006-12-12,629.0
2006-12-13,628.2
2006-12-14,628.5
2006-12-15,614.7
2006-12-18,614.7
2006-12-19,622.2
2006-12-20,621.1
2006-12-21,618.1
2006-12-22,619.2
2006-12-26,624.1
2006-12-27,627.2
2006-12-28,633.7
2006-12-29,636.1
2007-01-02,640.2
2007-01-03,627.1
2007-01-04,621.7
2007-01-05,606.7
2007-01-08,608.5
2007-01-09,613.5
2007-01-10,611.0
2007-01-11,611.5
2007-01-12,626.5
2007-01-15,626.1
2007-01-16,624.6
2007-01-17,632.2
2007-01-18,627.1
2007-01-19,634.7
2007-01-22,632.7
2007-01-23,645.6
2007-01-24,647.7
2007-01-25,645.6
2007-01-26,645.5
2007-01-29,643.0
2007-01-30,646.0
2007-01-31,652.7
2007-02-01,657.0
2007-02-02,647.2
2007-02-05,647.7
2007-02-06,652.7
2007-02-07,651.5
2007-02-08,659.2
2007-02-09,666.2
2007-02-12,660.6
2007-02-13,663.7
2007-02-14,668.3
2007-02-15,669.2
2007-02-16,668.5
2007-02-19,670.1
2007-02-20,657.2
2007-02-21,678.2
2007-02-22,676.8
2007-02-23,682.0
2007-02-26,686.1
2007-02-27,664.6
2007-02-28,669.1
2007-03-01,664.0
2007-03-02,642.0
2007-03-05,635.8
2007-03-06,646.3
2007-03-07,649.2
2007-03-08,652.1
2007-03-09,648.7
2007-03-12,649.8
2007-03-13,643.3
2007-03-14,643.7
2007-03-15,646.5
2007-03-16,652.7
2007-03-19,654.1
2007-03-20,657.7
2007-03-21,663.3
2007-03-22,662.8
2007-03-23,656.9
2007-03-26,663.2
2007-03-27,664.2
2007-03-28,665.1
2007-03-29,661.3
2007-03-30,663.2
2007-04-02,663.4
2007-04-03,664.0
2007-04-04,673.6
2007-04-05,673.8
2007-04-06,673.9
2007-04-09,670.7
2007-04-10,676.7
2007-04-11,676.8
2007-04-12,675.5
2007-04-13,684.6
2007-04-16,690.0
2007-04-17,687.3
2007-04-18,689.5
2007-04-19,682.2
2007-04-20,691.3
2007-04-23,688.7
2007-04-24,682.8
2007-04-25,685.2
2007-04-26,674.4
2007-04-27,680.9
2007-04-30,677.7
2007-05-01,672.8
2007-05-02,672.3
2007-05-03,681.7
2007-05-04,688.3
2007-05-07,688.0
2007-05-08,684.9
2007-05-09,680.3
2007-05-10,666.0
2007-05-11,670.5
2007-05-14,668.9
2007-05-15,671.6
2007-05-16,661.6
2007-05-17,657.2
2007-05-18,661.2
2007-05-22,658.7
2007-05-23,660.9
2007-05-24,654.1
2007-05-25,655.5
2007-05-28,655.2
2007-05-29,656.1
2007-05-30,653.2
2007-05-31,660.5
2007-06-01,671.2
2007-06-04,670.8
2007-06-05,669.6
2007-06-06,670.5
2007-06-07,658.8
2007-06-08,648.2
2007-06-11,653.1
2007-06-12,646.8
2007-06-13,650.9
2007-06-14,650.8
2007-06-15,654.8
2007-06-18,655.7
2007-06-19,661.1
2007-06-20,654.6
2007-06-21,651.4
2007-06-22,653.6
2007-06-25,650.5
2007-06-26,640.2
2007-06-27,642.9
2007-06-28,648.7
2007-06-29,649.1
2007-07-02,657.0
2007-07-03,652.9
2007-07-04,654.2
2007-07-05,649.3
2007-07-06,655.3
2007-07-09,660.2
2007-07-10,663.2
2007-07-11,660.3
2007-07-12,667.1
2007-07-13,666.4
2007-07-16,665.2
2007-07-17,664.8
2007-07-18,672.7
2007-07-19,677.4
2007-07-20,682.7
2007-07-23,680.9
2007-07-24,681.1
2007-07-25,674.8
2007-07-26,662.0
2007-07-27,660.6
2007-07-30,664.7
2007-07-31,663.5
2007-08-01,666.5
2007-08-02,664.5
2007-08-03,672.5
2007-08-06,671.8
2007-08-07,671.9
2007-08-08,674.3
2007-08-09,661.1
2007-08-10,672.4
2007-08-13,669.2
2007-08-14,668.6
2007-08-15,667.0
2007-08-16,652.1
2007-08-17,657.2
2007-08-20,657.9
2007-08-21,657.0
2007-08-22,660.1
2007-08-23,659.5
2007-08-24,668.0
2007-08-27,667.0
2007-08-28,662.1
2007-08-29,666.6
2007-08-30,665.0
2007-08-31,672.8
2007-09-03,672.3
2007-09-04,681.4
2007-09-05,681.0
2007-09-06,695.2
2007-09-07,700.2
2007-09-10,702.8
2007-09-11,712.1
2007-09-12,711.7
2007-09-13,707.9
2007-09-14,707.0
2007-09-17,717.1
2007-09-18,723.8
2007-09-19,721.4
2007-09-20,734.1
2007-09-21,730.8
2007-09-24,729.9
2007-09-25,731.1
2007-09-26,727.8
2007-09-27,734.1
2007-09-28,742.9
2007-10-01,747.1
2007-10-02,731.1
2007-10-03,727.0
2007-10-04,736.8
2007-10-05,742.2
2007-10-08,732.9
2007-10-09,737.7
2007-10-10,740.7
2007-10-11,747.4
2007-10-12,749.3
2007-10-15,758.8
2007-10-16,760.5
2007-10-17,754.6
2007-10-18,767.3
2007-10-19,764.8
2007-10-22,753.8
2007-10-23,759.2
2007-10-24,763.3
2007-10-25,768.7
2007-10-26,784.7
2007-10-29,791.8
2007-10-30,779.3
2007-10-31,796.1
2007-11-01,788.4
2007-11-02,806.3
2007-11-05,806.0
2007-11-06,823.9
2007-11-07,829.1
2007-11-08,832.9
2007-11-09,831.6
2007-11-12,793.4
2007-11-13,801.1
2007-11-14,812.2
2007-11-15,787.6
2007-11-16,785.7
2007-11-19,780.9
2007-11-20,802.0
2007-11-21,799.3
2007-11-22,803.7
2007-11-23,823.3
2007-11-26,823.0
2007-11-27,812.6
2007-11-28,804.8
2007-11-29,792.9
2007-11-30,782.7
2007-12-03,794.3
2007-12-04,800.6
2007-12-05,794.8
2007-12-06,800.8
2007-12-07,794.4
2007-12-10,808.2
2007-12-11,796.1
2007-12-12,813.0
2007-12-13,796.0
2007-12-14,794.4
2007-12-17,793.5
2007-12-18,801.8
2007-12-19,802.3
2007-12-20,795.7
2007-12-21,811.2
2007-12-24,812.4
2007-12-26,822.9
2007-12-28,839.1
2007-12-31,831.5
2008-01-02,857.2
2008-01-03,863.5
2008-01-04,859.2
2008-01-07,857.2
2008-01-08,877.9
2008-01-09,878.4
2008-01-10,894.3
2008-01-11,894.9
2008-01-14,904.4
2008-01-15,887.7
2008-01-16,875.5
2008-01-17,877.2
2008-01-18,882.7
2008-01-21,863.7
2008-01-22,891.0
2008-01-23,890.4
2008-01-24,912.4
2008-01-25,913.5
2008-01-28,928.3
2008-01-29,923.1
2008-01-30,927.1
2008-01-31,924.5
2008-02-01,905.0
2008-02-04,903.3
2008-02-05,887.9
2008-02-06,900.7
2008-02-07,911.1
2008-02-08,922.1
2008-02-11,922.4
2008-02-12,905.9
2008-02-13,904.7
2008-02-14,907.1
2008-02-15,902.0
2008-02-18,905.2
2008-02-19,927.0
2008-02-20,943.7
2008-02-21,945.5
2008-02-22,944.7
2008-02-25,938.0
2008-02-26,948.0
2008-02-27,958.4
2008-02-28,969.4
2008-02-29,973.5
2008-03-03,983.2
2008-03-04,964.4
2008-03-05,988.8
2008-03-06,974.6
2008-03-07,972.5
2008-03-10,972.7
2008-03-11,973.4
2008-03-12,982.0
2008-03-13,993.6
2008-03-14,1002.5
2008-03-17,1004.1
2008-03-18,983.0
2008-03-19,942.7
2008-03-20,909.6
2008-03-21,917.6
2008-03-24,912.5
2008-03-25,938.9
2008-03-26,954.5
2008-03-27,949.1
2008-03-28,931.2
2008-03-31,915.8
2008-04-01,883.3
2008-04-02,903.4
2008-04-03,902.8
2008-04-04,913.4
2008-04-07,919.9
2008-04-08,914.46
2008-04-09,933.8
2008-04-10,928.5
2008-04-11,924.7
2008-04-14,923.6
2008-04-15,927.5
2008-04-16,944.6
2008-04-17,938.5
2008-04-18,916.2
2008-04-21,916.2
2008-04-22,915.4
2008-04-23,903.7
2008-04-24,887.8
2008-04-25,885.8
2008-04-28,893.2
2008-04-29,870.6
2008-04-30,876.7
2008-05-01,852.2
2008-05-02,855.9
2008-05-05,873.7
2008-05-06,875.4
2008-05-07,867.9
2008-05-08,882.6
2008-05-09,884.3
2008-05-12,882.4
2008-05-13,866.1
2008-05-14,864.5
2008-05-15,881.2
2008-05-16,902.1
2008-05-19,904.7
2008-05-20,919.0
2008-05-21,931.0
2008-05-22,920.9
2008-05-23,924.5
2008-05-26,928.6
2008-05-27,905.0
2008-05-28,900.7
2008-05-29,876.9
2008-05-30,886.3
2008-06-02,890.0
2008-06-03,878.8
2008-06-04,878.1
2008-06-05,877.9
2008-06-06,901.8
2008-06-09,892.3
2008-06-10,866.7
2008-06-11,880.0
2008-06-12,868.8
2008-06-16,881.7
2008-06-17,882.1
2008-06-18,893.7
2008-06-19,898.1
2008-06-20,901.6
2008-06-23,883.4
2008-06-24,889.4
2008-06-25,885.8
2008-06-26,916.5
2008-06-27,927.3
2008-06-30,924.6
2008-07-01,939.3
2008-07-02,944.8
2008-07-03,933.5
2008-07-04,933.6
2008-07-07,926.0
2008-07-08,919.6
2008-07-09,928.0
2008-07-10,946.6
2008-07-11,963.7
2008-07-14,972.2
2008-07-15,977.0
2008-07-16,960.0
2008-07-17,958.1
2008-07-18,954.5
2008-07-21,966.3
2008-07-22,945.7
2008-07-23,920.2
2008-07-24,927.0
2008-07-25,929.1
2008-07-28,930.4
2008-07-29,917.3
2008-07-30,905.8
2008-07-31,913.3
2008-08-01,910.3
2008-08-04,894.7
2008-08-05,873.7
2008-08-06,879.1
2008-08-07,872.8
2008-08-08,856.2
2008-08-11,822.6
2008-08-12,811.3
2008-08-13,826.1
2008-08-14,806.0
2008-08-15,787.1
2008-08-18,799.5
2008-08-19,813.6
2008-08-20,813.1
2008-08-21,835.9
2008-08-22,822.7
2008-08-25,821.1
2008-08-26,824.1
2008-08-27,826.4
2008-08-28,833.7
2008-08-29,830.7
2008-09-01,817.6
2008-09-02,804.5
2008-09-03,802.3
2008-09-04,793.0
2008-09-05,803.3
2008-09-08,801.8
2008-09-09,775.8
2008-09-10,752.1
2008-09-11,747.3
2008-09-12,764.9
2008-09-15,787.3
2008-09-16,778.0
2008-09-17,863.5
2008-09-18,851.7
2008-09-19,872.8
2008-09-22,897.6
2008-09-23,891.3
2008-09-24,881.0
2008-09-25,876.3
2008-09-26,877.8
2008-09-29,905.7
2008-09-30,870.9
2008-10-01,869.9
2008-10-02,835.8
2008-10-03,835.3
2008-10-06,858.6
2008-10-07,888.0
2008-10-08,908.1
2008-10-09,913.0
2008-10-10,849.6
2008-10-13,831.6
2008-10-14,836.2
2008-10-15,847.5
2008-10-16,805.5
2008-10-17,782.8
2008-10-20,796.0
2008-10-21,771.5
2008-10-22,729.2
2008-10-23,723.9
2008-10-24,733.2
2008-10-27,730.5
2008-10-28,748.9
2008-10-29,757.5
2008-10-30,738.4
2008-10-31,723.7
2008-11-03,722.6
2008-11-04,762.7
2008-11-05,738.8
2008-11-06,731.6
2008-11-07,735.8
2008-11-10,744.7
2008-11-11,731.6
2008-11-12,710.6
2008-11-13,736.0
2008-11-14,741.2
2008-11-17,736.5
2008-11-18,737.6
2008-11-19,735.2
2008-11-20,745.0
2008-11-21,800.0
2008-11-24,821.0
2008-11-25,820.4
2008-11-26,810.5
2008-11-27,816.0
2008-12-01,768.7
2008-12-02,781.8
2008-12-03,773.9
2008-12-04,766.3
2008-12-05,755.7
2008-12-08,771.9
2008-12-09,776.2
2008-12-10,809.3
2008-12-11,819.9
2008-12-12,821.3
2008-12-15,836.6
2008-12-16,856.7
2008-12-17,867.3
2008-12-18,852.2
2008-12-19,837.5
2008-12-22,847.0
2008-12-23,839.7
2008-12-24,847.4
2008-12-26,867.0
2008-12-29,877.9
2008-12-30,871.4
2008-12-31,865.9
2009-01-02,874.6
2009-01-05,857.8
2009-01-06,863.0
2009-01-07,842.0
2009-01-08,856.1
2009-01-09,853.0
2009-01-12,820.1
2009-01-13,820.7
2009-01-14,811.0
2009-01-15,816.7
2009-01-16,841.7
2009-01-19,834.8
2009-01-20,855.8
2009-01-21,853.4
2009-01-22,856.5
2009-01-23,898.7
2009-01-26,903.5
2009-01-27,897.6
2009-01-28,887.4
2009-01-29,908.8
2009-01-30,926.5
2009-02-02,903.8
2009-02-03,900.0
2009-02-04,904.9
2009-02-05,914.1
2009-02-06,910.7
2009-02-09,894.4
2009-02-10,914.1
2009-02-11,938.4
2009-02-12,946.4
2009-02-13,941.0
2009-02-16,941.1
2009-02-17,968.7
2009-02-18,983.1
2009-02-19,973.2
2009-02-20,992.1
2009-02-23,991.2
2009-02-24,962.8
2009-02-25,952.2
2009-02-26,944.9
2009-02-27,941.6
2009-03-02,925.0
2009-03-03,914.7
2009-03-04,905.2
2009-03-05,932.1
2009-03-06,938.6
2009-03-09,920.0
2009-03-10,895.6
2009-03-11,908.4
2009-03-12,925.1
2009-03-13,929.0
2009-03-16,923.6
2009-03-17,915.1
2009-03-18,937.2
2009-03-19,954.2
2009-03-20,951.4
2009-03-23,937.7
2009-03-24,928.6
2009-03-25,932.4
2009-03-26,934.0
2009-03-27,922.4
2009-03-30,915.1
2009-03-31,917.4
2009-04-01,926.2
2009-04-02,903.8
2009-04-03,892.4
2009-04-06,869.2
2009-04-07,880.5
2009-04-08,880.1
2009-04-09,878.9
2009-04-10,881.15
2009-04-13,893.3
2009-04-14,889.9
2009-04-15,890.6
2009-04-16,875.15
2009-04-17,868.25
2009-04-20,884.53
2009-04-21,883.2
2009-04-22,889.9
2009-04-23,903.45
2009-04-24,912.5
2009-04-27,906.2
2009-04-28,892.22
2009-04-29,898.1
2009-04-30,886.2
2009-05-01,886.05
2009-05-04,902.85
2009-05-05,896.3
2009-05-06,910.53
2009-05-07,909.75
2009-05-08,915.9
2009-05-11,913.18
2009-05-12,922.35
2009-05-13,925.95
2009-05-14,925.05
2009-05-15,931.15
2009-05-18,918.2
2009-05-20,937.38
2009-05-21,951.83
2009-05-22,956.95
2009-05-25,958.45
2009-05-26,951.75
2009-05-27,948.4
2009-05-28,957.89
2009-05-29,978.57
2009-06-01,974.45
2009-06-02,982.9
2009-06-03,962.58
2009-06-04,979.6
2009-06-05,954.79
2009-06-08,950.03
2009-06-09,954.25
2009-06-10,954.25
